"app_name","net_profit","total_reviews","acontent_rating","apple_genre","play_genre","a_rating","p_rating","avg_lifespan"
"PewDiePie's Tuber Simulator",518000.0,1590317,"9+","Games","Casual",5.0,4.8,11.0
"Geometry Dash Lite",494000.0,6552010,"4+","Games","Arcade",5.0,4.5,10.5
"Domino's Pizza USA",494000.0,1291559,"4+","Food & Drink","Food & Drink",5.0,4.7,10.5
"Egg, Inc.",494000.0,659234,"4+","Games","Simulation",5.0,4.7,10.5
"Fernanfloo",494000.0,529481,"9+","Games","Arcade",4.5,4.8,10.5
"The Guardian",494000.0,256168,"12+","News","News & Magazines",5.0,4.7,10.5
"ASOS",494000.0,191548,"4+","Shopping","Shopping",5.0,4.7,10.5
"Cytus",484100.0,549657,"4+","Games","Music",5.0,4.7,10.5
"WhatsApp Messenger",470000.0,69406905,"4+","Social Networking","Communication",4.5,4.4,10.0
"Instagram",470000.0,68739004,"12+","Photo & Video","Social",4.5,4.5,10.0
